Product Code,Name,Description,Small Image,Large Image,Catalogue,Sale Price,Retail Price,Tax Code,SEO friendly URL,Grouping Product Codes,Grouping Product Descriptions,Supplier CRM ID,Supplier Commission Percentage,Weighting/Order,Related Products,Weight In KG/Pounds,Product Width (Previously Volume),Keywords,Unit Type,Min Units,Max Units,In Stock,On Order,Re-order Threshold,Inventory Control,Can Pre-Order,Custom 1,Custom 2,Custom 3,Custom 4,Poplets,Enabled,Capture Details,Limit Download Count,Limit Download IP,On Sale,Hide if Out of Stock,Attributes,Gift Voucher,Drop Shipping,Product Height,Product Depth,Exclude From Search Results,Product Title,Wholesale Sale Price,Tax Code,Cycle Type,Cycle Type Count,Product URL,Product Affiliate URL,Variations Enabled,Variations Code,Variation Options
FDFLAG130103GOKT,Grand Opening 13' Blue Star Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG103GO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG103GO.png,/shop/flags/feather dancer/business/;,US/84.00;,,,,FDFLAG130103GOKT;FDFLAG170103GOKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_bluestar_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170103GOKT,Grand Opening 17' Blue Star Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG103GO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG103GO.png,/shop/flags/feather dancer/business/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_bluestar_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130104GOKT,Grand Opening 13' Red Star Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG104GO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG104GO.png,/shop/flags/feather dancer/business/;,US/84.00;,,,,FDFLAG130104GOKT;FDFLAG170104GOKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_redstar_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170104GOKT,Grand Opening 17' Red Star Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAG104GO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAG104GO.png,/shop/flags/feather dancer/business/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_redstar_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDFLAG130BLNGOKT,Grand Opening 13' Balloon Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAGBLNGO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAGBLNGO.png,/shop/flags/feather dancer/business/;,US/84.00;,,,,FDFLAG130BLNGOKT;FDFLAG170BLNGOKT;,;;,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123282}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_balloon_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
FDFLAG170BLNGOKT,Grand Opening 17' Balloon Flag Kit,"Feather Dancers act as a unique advertising solution, providing an effective way to communicate and capture customer's attention.",/Assets/img/products/feather/dancer/sm/FDFLAGBLNGO_SM.png,/Assets/img/products/feather/dancer/lg/FDFLAGBLNGO.png,/shop/flags/feather dancer/business/;,US/108.75;,,,,,,,,,,,,flag-layout,,,,,,,,,"{module_webapps,18620,i,4123738}",,,,/Assets/img/products/feather/dancer/poplets/business/grandopening_balloon_sun.jpg;,,,,,,,,,,,,,,,,,,,,,,
